District,Year,Month,Rainfall,Temperature,Soil_Moisture,NDVI
Jangaon,2017,10,97.36353062798896,25.78847946180421,0.3792193606300871,0.6843957938582161
Jangaon,2017,11,10.01627722600452,24.30684919883831,0.2043470762590256,0.5295716890595006
Jangaon,2017,12,1.780752828715303,22.36409796568162,0.1351539576252068,0.432933592696973
Jangaon,2018,1,1.7164751721315248,22.603248670820232,0.1206393601261022,0.3900862422410976
Jangaon,2018,2,8.695785214815793,24.90658326313148,0.1176937992989565,0.4004034691877318
Jangaon,2018,3,2.165091184370015,28.758938998900444,0.1243794097593121,0.4022352009147336
Jangaon,2018,4,37.05550986869041,30.646434460311475,0.14974373539172,0.3390048901502775
Jangaon,2018,5,26.182238484016366,32.749831970811215,0.1289107862377332,0.2986476723293041
Jangaon,2018,6,143.5035598308844,29.278466447440213,0.2749964649774462,0.3308859727213328
Jangaon,2018,7,196.8354370249009,26.40052605648421,0.3777556271165487,0.4032102397092452
Jangaon,2018,8,222.16310255932896,26.01037990102414,0.3625439196066129,0.5214864974681476
Jangaon,2018,9,124.22259454612336,26.57126342845163,0.323993882168321,0.6648846557497546
Jangaon,2018,10,47.091544917341416,26.32501503394314,0.2467006262632812,0.5447406934008492
Jangaon,2018,11,3.451999127173122,25.13267717797977,0.1418590928704306,0.4433562112054883
Jangaon,2018,12,16.392264565264593,22.326529872816163,0.1617171128321221,0.3815362422410974
Jangaon,2019,1,4.05430847512688,21.58397451485723,0.1558932582121505,0.368514683658048
Jangaon,2019,2,3.431046252674228,24.89955524596445,0.1590607052386725,0.3682990852662526
Jangaon,2019,3,0.0013951376743821,28.929736965379234,0.121783308151144,0.3491231970761187
Jangaon,2019,4,15.518719172347488,31.483191732328883,0.1328360167046096,0.2980539529565501
Jangaon,2019,5,19.659008762397697,34.385576903739995,0.1230356734289422,0.2599918388598496
Jangaon,2019,6,100.88940906534545,31.562893233025253,0.1928813572825483,0.2949760719536097
Jangaon,2019,7,162.21748449849596,27.412465216081664,0.3373474704300634,0.4626478560927798
